References,gal_name,gal_ra_deg,gal_dec_deg,gal_vlsr_km/s,qso_hsla_name,qso_ra_deg,qso_dec_deg,impact_para_kpc,impact_para_err,qso_hsla_snr,qso_snr_stis,gal_z,gal_dmpc,d_err,d_ref,logM*,logM*_err,M*_ref,logM200m,logM200m_err,M200m_ref,logM200c,logM200c_err,M200c_ref,logMHI,logMHI_err,MHI_ref,logSFR_flg,logSFR(Msun/yr),logSFR_err,SFR_ref,R200m_kpc,R200m_err,R200c_kpc,R200c_err,Wr_flg_HI,Wr_HI,eWr_HI,logN_flg_HI,logN_HI,elogN_HI,Wr_flg_SiII,Wr_SiII,eWr_SiII,logN_flg_SiII,logN_SiII,elogN_SiII,Wr_flg_SiIII,Wr_SiIII,eWr_SiIII,logN_flg_SiIII,logN_SiIII,elogN_SiIII,Wr_flg_SiIV,Wr_SiIV,eWr_SiIV,logN_flg_SiIV,logN_SiIV,elogN_SiIV,Wr_flg_CII,Wr_CII,eWr_CII,logN_flg_CII,logN_CII,elogN_CII,Wr_flg_CIV,Wr_CIV,eWr_CIV,logN_flg_CIV,logN_CIV,elogN_CIV,Wr_flg_OVI,Wr_OVI,eWr_OVI,logN_flg_OVI,logN_OVI,elogN_OVI
Liang&Chen2014,SDSSJ113443.71+255455.4,173.6821,25.9154,nan,SDSSJ113457.62+255527.9,173.7401,25.9244,365.5,nan,6.9,nan,0.1046,nan,nan,,10.43,nan,Liang+2014(Kroupa IMF),12.15,nan,M21,12.0,nan,M21,nan,nan,,,nan,nan,Liang+2014,350.5,nan,210.8,nan,=,741.0,21.0,=,14.13,0.01,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,<=(1sig),22.0,nan,<=(1sig),12.74,nan,,nan,nan,,nan,nan
Liang&Chen2014,SDSSJ120839.97+454223.6,182.1666,45.7066,nan,PG1206+459,182.2417,45.6765,406.9,nan,20.0,nan,0.1015,nan,nan,,10.43,nan,Liang+2014(Kroupa IMF),12.15,nan,M21,12.0,nan,M21,nan,nan,,,nan,nan,Liang+2014,350.5,nan,210.8,nan,=,611.0,9.0,=,14.05,0.01,,nan,nan,,nan,nan,<=(1sig),4.0,nan,<=(1sig),11.28,nan,,nan,nan,,nan,nan,<=(1sig),18.0,nan,<=(1sig),12.95,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan
Liang&Chen2014,2MASXJ110257.53+414603.4,165.7397,41.7677,nan,SDSSJ110312.93+414154.9,165.8039,41.6986,428.4,nan,7.6,nan,0.0745,nan,nan,,10.43,nan,Liang+2014(Kroupa IMF),12.15,nan,M21,12.0,nan,M21,nan,nan,,,nan,nan,Liang+2014,350.5,nan,210.8,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,<=(1sig),14.5,nan,<=(1sig),11.84,nan,<=(1sig),12.0,nan,<=(1sig),12.13,nan,,nan,nan,,nan,nan,<=(1sig),16.0,nan,<=(1sig),12.6,nan,,nan,nan,,nan,nan
Liang&Chen2014,2MASXJ112219.81+574834.4,170.5826,57.8097,nan,SDSSJ112244.89+575543.0,170.687,57.9286,457.4,nan,6.2,nan,0.0495,nan,nan,,10.43,nan,Liang+2014(Kroupa IMF),12.15,nan,M21,12.0,nan,M21,nan,nan,,,-1.36,nan,Liang+2014,350.5,nan,210.8,nan,<=(1sig),28.0,nan,<=(1sig),12.71,nan,<=(1sig),9.0,nan,<=(1sig),11.73,nan,<=(1sig),9.0,nan,<=(1sig),11.63,nan,,nan,nan,,nan,nan,<=(1sig),21.0,nan,<=(1sig),13.02,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan
Liang&Chen2014,2MASXJ132209.25+464256.7,200.5384,46.7158,nan,SDSSJ132222.68+464535.2,200.5945,46.7598,237.1,nan,8.5,nan,0.0582,nan,nan,,10.43,nan,Liang+2014(Kroupa IMF),12.15,nan,M21,12.0,nan,M21,nan,nan,,,nan,nan,Liang+2014,350.5,nan,210.8,nan,<=(1sig),22.5,nan,<=(1sig),12.62,nan,,nan,nan,,nan,nan,<=(1sig),14.0,nan,<=(1sig),11.82,nan,<=(1sig),12.0,nan,<=(1sig),12.13,nan,,nan,nan,,nan,nan,<=(1sig),23.5,nan,<=(1sig),12.77,nan,,nan,nan,,nan,nan
Liang&Chen2014,2MASXJ092007.19+551958.3,140.0299,55.3329,nan,MRK106,139.9804,55.3603,211.8,nan,27.1,nan,0.0794,nan,nan,,10.43,nan,Liang+2014(Kroupa IMF),12.15,nan,M21,12.0,nan,M21,nan,nan,,,nan,nan,Liang+2014,350.5,nan,210.8,nan,=,239.0,8.0,=,13.64,0.01,,nan,nan,,nan,nan,,nan,nan,,nan,nan,<=(1sig),5.5,nan,<=(1sig),11.79,nan,<=(1sig),8.0,nan,<=(1sig),12.6,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan
Liang&Chen2014,SDSSJ162000.84+333246.1,245.0035,33.5462,nan,SDSSJ161916.54+334238.4,244.8189,33.7107,496.7,nan,11.4,nan,0.0306,nan,nan,,10.53,nan,Liang+2014(Kroupa IMF),12.27,nan,M21,12.12,nan,M21,nan,nan,,,-0.59,nan,Liang+2014,384.3,nan,231.2,nan,<=(1sig),8.5,nan,<=(1sig),12.19,nan,<=(1sig),10.5,nan,<=(1sig),11.8,nan,,nan,nan,,nan,nan,<=(1sig),4.0,nan,<=(1sig),11.66,nan,,nan,nan,,nan,nan,<=(1sig),13.5,nan,<=(1sig),12.53,nan,,nan,nan,,nan,nan
Liang&Chen2014,SDSSJ115045.90+543935.2,177.6913,54.6598,nan,PG1148+549,177.8353,54.6259,488.6,nan,12.7,nan,0.0799,nan,nan,,10.53,nan,Liang+2014(Kroupa IMF),12.27,nan,M21,12.12,nan,M21,nan,nan,,,nan,nan,Liang+2014,384.3,nan,231.2,nan,<=(1sig),7.0,nan,<=(1sig),12.11,nan,<=(1sig),3.0,nan,<=(1sig),11.26,nan,<=(1sig),4.0,nan,<=(1sig),11.28,nan,<=(1sig),4.5,nan,<=(1sig),11.71,nan,<=(1sig),5.0,nan,<=(1sig),12.39,nan,<=(1sig),8.0,nan,<=(1sig),12.3,nan,,nan,nan,,nan,nan
Liang&Chen2014,SDSSJ111245.81+353901.7,168.1909,35.6505,nan,SDSSJ111239.11+353928.2,168.163,35.6578,216.0,nan,4.8,nan,0.1433,nan,nan,,10.53,nan,Liang+2014(Kroupa IMF),12.27,nan,M21,12.12,nan,M21,nan,nan,,,nan,nan,Liang+2014,384.3,nan,231.2,nan,=,280.0,20.0,=,13.71,0.03,<=(1sig),15.5,nan,<=(1sig),11.97,nan,<=(1sig),15.0,nan,<=(1sig),11.85,nan,<=(1sig),37.5,nan,<=(1sig),12.63,nan,,nan,nan,,nan,nan,<=(1sig),39.0,nan,<=(1sig),12.99,nan,,nan,nan,,nan,nan
Liang&Chen2014,SDSSJ000548.11+161123.4,1.4505,16.1898,nan,PG0003+158,1.4968,16.1636,382.9,nan,24.2,nan,0.1134,nan,nan,,10.53,nan,Liang+2014(Kroupa IMF),12.27,nan,M21,12.12,nan,M21,nan,nan,,,nan,nan,Liang+2014,384.3,nan,231.2,nan,<=(1sig),5.0,nan,<=(1sig),11.96,nan,,nan,nan,,nan,nan,<=(1sig),4.0,nan,<=(1sig),11.28,nan,<=(1sig),5.0,nan,<=(1sig),11.75,nan,,nan,nan,,nan,nan,<=(1sig),7.5,nan,<=(1sig),12.27,nan,,nan,nan,,nan,nan
Liang&Chen2014,SDSSJ133108.64+311853.2,202.786,31.3148,nan,SDSSJ133053.27+311930.5,202.722,31.3252,410.8,nan,9.0,nan,0.1127,nan,nan,,10.53,nan,Liang+2014(Kroupa IMF),12.27,nan,M21,12.12,nan,M21,nan,nan,,,nan,nan,Liang+2014,384.3,nan,231.2,nan,=,181.0,14.0,=,13.52,0.03,,nan,nan,,nan,nan,<=(1sig),8.0,nan,<=(1sig),11.58,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,<=(1sig),25.0,nan,<=(1sig),12.79,nan,,nan,nan,,nan,nan
Liang&Chen2014,2MASXJ134221.97+382650.6,205.5915,38.4475,nan,SDSSJ134231.22+382903.4,205.6302,38.4844,273.1,nan,9.9,nan,0.0847,nan,nan,,10.53,nan,Liang+2014(Kroupa IMF),12.27,nan,M21,12.12,nan,M21,nan,nan,,,nan,nan,Liang+2014,384.3,nan,231.2,nan,=,298.0,14.0,=,13.74,0.02,<=(1sig),7.0,nan,<=(1sig),11.63,nan,<=(1sig),12.0,nan,<=(1sig),11.76,nan,<=(1sig),9.5,nan,<=(1sig),12.03,nan,<=(1sig),17.0,nan,<=(1sig),12.93,nan,<=(1sig),18.0,nan,<=(1sig),12.65,nan,,nan,nan,,nan,nan
Liang&Chen2014,SDSSJ234510.55-005728.0,356.294,-0.9578,nan,SDSSJ234500.43-005936.0,356.2518,-0.9934,470.9,nan,6.4,nan,0.1336,nan,nan,,10.53,nan,Liang+2014(Kroupa IMF),12.27,nan,M21,12.12,nan,M21,nan,nan,,,nan,nan,Liang+2014,384.3,nan,231.2,nan,=,134.0,13.0,=,13.39,0.04,,nan,nan,,nan,nan,<=(1sig),9.5,nan,<=(1sig),11.66,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan
Liang&Chen2014,SDSSJ123252.81-003236.4,188.2201,-0.5434,nan,SDSSJ123304.05-003134.1,188.2669,-0.5262,361.9,nan,11.0,nan,0.1106,nan,nan,,10.53,nan,Liang+2014(Kroupa IMF),12.27,nan,M21,12.12,nan,M21,nan,nan,,,nan,nan,Liang+2014,384.3,nan,231.2,nan,<=(1sig),14.0,nan,<=(1sig),12.41,nan,<=(1sig),7.5,nan,<=(1sig),11.66,nan,<=(1sig),9.0,nan,<=(1sig),11.63,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,<=(1sig),23.5,nan,<=(1sig),12.77,nan,,nan,nan,,nan,nan
Liang&Chen2014,SDSSJ143743.01-014742.6,219.4292,-1.7952,nan,LBQS1435-0134,219.4512,-1.7863,208.2,nan,12.0,nan,0.1385,nan,nan,,10.63,nan,Liang+2014(Kroupa IMF),12.41,nan,M21,12.26,nan,M21,nan,nan,,,nan,nan,Liang+2014,427.9,nan,257.4,nan,=,396.0,5.0,=,13.86,0.01,<=(1sig),3.0,nan,<=(1sig),11.26,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,=,91.0,7.0,=,13.35,0.03,,nan,nan,,nan,nan
Liang&Chen2014,SDSSJ102220.70+013143.5,155.5863,1.5288,nan,SDSSJ102218.99+013218.8,155.5791,1.5386,105.7,nan,6.7,nan,0.1369,nan,nan,,10.63,nan,Liang+2014(Kroupa IMF),12.41,nan,M21,12.26,nan,M21,nan,nan,,,nan,nan,Liang+2014,427.9,nan,257.4,nan,=,238.0,12.0,=,13.64,0.02,<=(1sig),19.5,nan,<=(1sig),12.07,nan,<=(1sig),13.0,nan,<=(1sig),11.79,nan,<=(1sig),27.5,nan,<=(1sig),12.49,nan,=,111.0,19.0,=,13.74,0.07,<=(1sig),27.5,nan,<=(1sig),12.83,nan,,nan,nan,,nan,nan
Liang&Chen2014,SDSSJ091041.20+101601.8,137.6717,10.2672,nan,SDSSJ091029.75+101413.6,137.624,10.2371,489.8,nan,3.3,nan,0.1382,nan,nan,,10.63,nan,Liang+2014(Kroupa IMF),12.41,nan,M21,12.26,nan,M21,nan,nan,,,nan,nan,Liang+2014,427.9,nan,257.4,nan,=,239.0,31.0,=,13.64,0.06,<=(1sig),19.0,nan,<=(1sig),12.06,nan,<=(1sig),21.0,nan,<=(1sig),12.0,nan,<=(1sig),33.0,nan,<=(1sig),12.57,nan,,nan,nan,,nan,nan,<=(1sig),17.0,nan,<=(1sig),12.63,nan,,nan,nan,,nan,nan
Liang&Chen2014,SDSSJ101626.43+470411.1,154.1101,47.0697,nan,SDSSJ101622.60+470643.3,154.0942,47.112,353.1,nan,7.6,nan,0.1254,nan,nan,,10.63,nan,Liang+2014(Kroupa IMF),12.41,nan,M21,12.26,nan,M21,nan,nan,,,nan,nan,Liang+2014,427.9,nan,257.4,nan,=,299.0,20.0,=,13.74,0.03,<=(1sig),10.5,nan,<=(1sig),11.8,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan
Liang&Chen2014,SDSSJ100849.00+071204.7,152.2042,7.2013,nan,SDSSJ100902.06+071343.8,152.2586,7.2289,498.3,nan,5.0,nan,0.1279,nan,nan,,10.63,nan,Liang+2014(Kroupa IMF),12.41,nan,M21,12.26,nan,M21,nan,nan,,,nan,nan,Liang+2014,427.9,nan,257.4,nan,=,304.0,18.0,=,13.75,0.03,<=(1sig),11.0,nan,<=(1sig),11.82,nan,<=(1sig),15.5,nan,<=(1sig),11.87,nan,<=(1sig),21.0,nan,<=(1sig),12.38,nan,,nan,nan,,nan,nan,<=(1sig),21.5,nan,<=(1sig),12.73,nan,,nan,nan,,nan,nan
Liang&Chen2014,SDSSJ144504.37+342822.0,221.2682,34.4728,nan,SDSSJ144511.28+342825.4,221.297,34.4737,184.4,nan,5.9,nan,0.1198,nan,nan,,10.63,nan,Liang+2014(Kroupa IMF),12.41,nan,M21,12.26,nan,M21,nan,nan,,,nan,nan,Liang+2014,427.9,nan,257.4,nan,=,249.0,17.0,=,13.66,0.03,<=(1sig),14.5,nan,<=(1sig),11.94,nan,<=(1sig),12.5,nan,<=(1sig),11.77,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,<=(1sig),26.0,nan,<=(1sig),12.81,nan,,nan,nan,,nan,nan
Liang&Chen2014,2MASXJ152406.39+095443.2,231.0267,9.9121,nan,PG1522+101,231.1022,9.9748,483.2,nan,12.8,nan,0.0725,nan,nan,,10.63,nan,Liang+2014(Kroupa IMF),12.41,nan,M21,12.26,nan,M21,nan,nan,,,nan,nan,Liang+2014,427.9,nan,257.4,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,<=(1sig),4.0,nan,<=(1sig),11.28,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,<=(1sig),9.0,nan,<=(1sig),12.35,nan,,nan,nan,,nan,nan
Liang&Chen2014,2MASXJ113326.13+032418.7,173.3587,3.4052,nan,SDSSJ113327.78+032719.1,173.3658,3.4553,291.1,nan,6.0,nan,0.0851,nan,nan,,10.63,nan,Liang+2014(Kroupa IMF),12.41,nan,M21,12.26,nan,M21,nan,nan,,,nan,nan,Liang+2014,427.9,nan,257.4,nan,=,742.0,26.0,=,14.13,0.02,<=(1sig),10.5,nan,<=(1sig),11.8,nan,<=(1sig),19.5,nan,<=(1sig),11.97,nan,,nan,nan,,nan,nan,<=(1sig),27.5,nan,<=(1sig),13.13,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan
Liang&Chen2014,2MASXJ091035.25+100827.5,137.6468,10.1408,nan,SDSSJ091029.75+101413.6,137.624,10.2371,398.5,nan,3.3,nan,0.0578,nan,nan,,10.63,nan,Liang+2014(Kroupa IMF),12.41,nan,M21,12.26,nan,M21,nan,nan,,,nan,nan,Liang+2014,427.9,nan,257.4,nan,=,387.0,55.0,=,13.85,0.06,<=(1sig),17.0,nan,<=(1sig),12.01,nan,,nan,nan,,nan,nan,<=(1sig),14.5,nan,<=(1sig),12.22,nan,<=(1sig),25.5,nan,<=(1sig),13.1,nan,<=(1sig),26.5,nan,<=(1sig),12.82,nan,,nan,nan,,nan,nan
Liang&Chen2014,SDSSJ124440.73+340438.5,191.1697,34.0774,nan,SDSSJ124511.25+335610.1,191.2969,33.9361,484.8,nan,5.8,nan,0.0386,nan,nan,,10.73,nan,Liang+2014(Kroupa IMF),12.58,nan,M21,12.43,nan,M21,nan,nan,,,-1.17,nan,Liang+2014,487.5,nan,293.3,nan,=,292.0,13.0,=,13.73,0.02,<=(1sig),13.5,nan,<=(1sig),11.91,nan,,nan,nan,,nan,nan,<=(1sig),11.0,nan,<=(1sig),12.1,nan,<=(1sig),20.5,nan,<=(1sig),13.01,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan
Liang&Chen2014,[PWC2011a]J215454.91-092330.8,328.7288,-9.3919,nan,PHL1811,328.7564,-9.3735,352.3,nan,41.9,8.0,0.176,nan,nan,,10.73,nan,Liang+2014(Kroupa IMF),12.58,nan,M21,12.43,nan,M21,nan,nan,,,nan,nan,Liang+2014,487.5,nan,293.3,nan,=,486.0,9.0,=,13.95,0.01,<=(1sig),4.0,nan,<=(1sig),11.38,nan,<=(1sig),4.5,nan,<=(1sig),11.33,nan,<=(1sig),11.0,nan,<=(1sig),12.1,nan,<=(1sig),10.0,nan,<=(1sig),12.7,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan
Liang&Chen2014,SDSSJ103110.35+505211.0,157.7931,50.8697,nan,1ES1028+511,157.8272,50.8933,278.6,nan,18.8,nan,0.1373,nan,nan,,10.73,nan,Liang+2014(Kroupa IMF),12.58,nan,M21,12.43,nan,M21,nan,nan,,,nan,nan,Liang+2014,487.5,nan,293.3,nan,=,238.0,10.0,=,13.64,0.02,<=(1sig),6.0,nan,<=(1sig),11.56,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,<=(1sig),23.0,nan,<=(1sig),12.76,nan,,nan,nan,,nan,nan
Liang&Chen2014,2MASXJ121056.34+315756.5,182.7349,31.9657,nan,SDSSJ121037.56+315706.0,182.6565,31.9518,480.0,nan,6.0,nan,0.1073,nan,nan,,10.73,nan,Liang+2014(Kroupa IMF),12.58,nan,M21,12.43,nan,M21,nan,nan,,,nan,nan,Liang+2014,487.5,nan,293.3,nan,<=(1sig),16.5,nan,<=(1sig),12.48,nan,<=(1sig),9.0,nan,<=(1sig),11.73,nan,,nan,nan,,nan,nan,<=(1sig),13.0,nan,<=(1sig),12.17,nan,,nan,nan,,nan,nan,<=(1sig),14.0,nan,<=(1sig),12.54,nan,,nan,nan,,nan,nan
Liang&Chen2014,SDSSJ091452.64+282437.5,138.7193,28.4104,nan,SDSSJ091440.38+282330.6,138.6683,28.3918,434.3,nan,7.4,nan,0.141,nan,nan,,10.73,nan,Liang+2014(Kroupa IMF),12.58,nan,M21,12.43,nan,M21,nan,nan,,,nan,nan,Liang+2014,487.5,nan,293.3,nan,<=(1sig),15.5,nan,<=(1sig),12.45,nan,,nan,nan,,nan,nan,<=(1sig),10.0,nan,<=(1sig),11.68,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,<=(1sig),22.5,nan,<=(1sig),12.75,nan,,nan,nan,,nan,nan
Liang&Chen2014,[PWC2011a]J215506.53-092325.2,328.7772,-9.3903,nan,PHL1811,328.7564,-9.3735,225.1,nan,41.9,8.0,0.1325,nan,nan,,10.73,nan,Liang+2014(Kroupa IMF),12.58,nan,M21,12.43,nan,M21,nan,nan,,,nan,nan,Liang+2014,487.5,nan,293.3,nan,=,414.0,6.0,=,13.88,0.01,<=(1sig),4.0,nan,<=(1sig),11.38,nan,<=(1sig),4.5,nan,<=(1sig),11.33,nan,<=(1sig),9.0,nan,<=(1sig),12.01,nan,<=(1sig),7.5,nan,<=(1sig),12.57,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan
Liang&Chen2014,2MASXJ100403.23+285649.6,151.0135,28.9473,nan,TON28,151.0109,28.9265,179.0,nan,20.3,5.0,0.1339,nan,nan,,10.73,nan,Liang+2014(Kroupa IMF),12.58,nan,M21,12.43,nan,M21,nan,nan,,,nan,nan,Liang+2014,487.5,nan,293.3,nan,=,177.0,9.0,=,13.51,0.02,<=(1sig),6.0,nan,<=(1sig),11.56,nan,<=(1sig),5.5,nan,<=(1sig),11.42,nan,<=(1sig),12.5,nan,<=(1sig),12.15,nan,<=(1sig),15.0,nan,<=(1sig),12.87,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan
Liang&Chen2014,*2MASXJ00055617+1608041,1.484,16.1345,nan,PG0003+158,1.4968,16.1636,192.9,nan,24.2,nan,0.0909,nan,nan,,10.73,nan,Liang+2014(Kroupa IMF),12.58,nan,M21,12.43,nan,M21,nan,nan,,,nan,nan,Liang+2014,487.5,nan,293.3,nan,=,805.0,8.0,=,14.17,0.0,<=(1sig),3.0,nan,<=(1sig),11.26,nan,,nan,nan,,nan,nan,<=(1sig),4.5,nan,<=(1sig),11.71,nan,<=(1sig),14.0,nan,<=(1sig),12.84,nan,=,220.0,13.0,=,13.74,0.03,,nan,nan,,nan,nan
Liang&Chen2014,SDSSJ112225.88+580147.3,170.6079,58.0298,nan,SDSSJ112244.89+575543.0,170.687,57.9286,404.4,nan,6.2,nan,0.0526,nan,nan,,10.73,nan,Liang+2014(Kroupa IMF),12.58,nan,M21,12.43,nan,M21,nan,nan,,,-0.37,nan,Liang+2014,487.5,nan,293.3,nan,=,508.0,40.0,=,13.97,0.03,<=(1sig),8.5,nan,<=(1sig),11.71,nan,<=(1sig),8.5,nan,<=(1sig),11.61,nan,<=(1sig),9.5,nan,<=(1sig),12.03,nan,<=(1sig),20.0,nan,<=(1sig),13.0,nan,<=(1sig),19.0,nan,<=(1sig),12.67,nan,,nan,nan,,nan,nan
Liang&Chen2014,SDSSJ093524.13+020509.9,143.8506,2.0861,nan,SDSSJ093518.19+020415.5,143.8258,2.071,271.9,nan,4.6,nan,0.1494,nan,nan,,10.73,nan,Liang+2014(Kroupa IMF),12.58,nan,M21,12.43,nan,M21,nan,nan,,,nan,nan,Liang+2014,487.5,nan,293.3,nan,=,535.0,30.0,=,13.99,0.02,<=(1sig),30.5,nan,<=(1sig),12.26,nan,<=(1sig),12.5,nan,<=(1sig),11.77,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan
Liang&Chen2014,[PWC2011a]J031158.58-764855.4,47.9938,-76.8153,nan,PKS0312-770,47.9802,-76.8641,378.7,nan,nan,5.0,0.1191,nan,nan,,10.83,nan,Liang+2014(Kroupa IMF),12.8,nan,M21,12.65,nan,M21,nan,nan,,,nan,nan,Liang+2014,577.2,nan,347.2,nan,=,572.0,18.0,=,14.02,0.01,<=(1sig),7.5,nan,<=(1sig),11.66,nan,<=(1sig),8.0,nan,<=(1sig),11.58,nan,<=(1sig),13.5,nan,<=(1sig),12.18,nan,<=(1sig),6.0,nan,<=(1sig),12.47,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan
Liang&Chen2014,SDSSJ111906.68+211828.7,169.7778,21.308,nan,PG1116+215,169.7862,21.3217,138.1,nan,45.0,10.0,0.1381,nan,nan,,10.83,nan,Liang+2014(Kroupa IMF),12.8,nan,M21,12.65,nan,M21,nan,nan,,,nan,nan,Liang+2014,577.2,nan,347.2,nan,=,471.0,5.0,=,13.94,0.0,=,51.0,2.0,=,12.49,0.02,=,84.0,3.0,=,12.6,0.02,=,37.0,6.0,=,12.62,0.07,=,90.0,6.0,=,13.65,0.03,=,53.0,10.0,=,13.12,0.08,,nan,nan,,nan,nan
Liang&Chen2014,GALEXASCJ040751.11-121138.7,61.9633,-12.1936,nan,PKS0405-123,61.9518,-12.1935,115.9,nan,45.3,48.0,0.1669,nan,nan,,10.83,nan,Liang+2014(Kroupa IMF),12.8,nan,M21,12.65,nan,M21,nan,nan,,,nan,nan,Liang+2014,577.2,nan,347.2,nan,=,907.0,3.0,=,14.22,0.0,=,146.0,3.0,=,12.94,0.01,=,249.0,2.0,=,13.07,0.0,=,111.0,4.0,=,13.1,0.02,=,221.0,4.0,=,14.04,0.01,,nan,nan,,nan,nan,,nan,nan,,nan,nan
Liang&Chen2014,2MASXJ111125.61+554435.8,167.8566,55.7432,nan,SBS1108+560,167.8841,55.7906,436.7,nan,4.1,nan,0.1376,nan,nan,,10.83,nan,Liang+2014(Kroupa IMF),12.8,nan,M21,12.65,nan,M21,nan,nan,,,nan,nan,Liang+2014,577.2,nan,347.2,nan,=,542.0,5.0,=,14.0,0.0,<=(1sig),5.0,nan,<=(1sig),11.48,nan,<=(1sig),4.5,nan,<=(1sig),11.33,nan,<=(1sig),12.0,nan,<=(1sig),12.13,nan,,nan,nan,,nan,nan,<=(1sig),16.5,nan,<=(1sig),12.61,nan,,nan,nan,,nan,nan
Liang&Chen2014,2MASXJ111730.29+263804.7,169.3761,26.6346,nan,SDSSJ111754.31+263416.6,169.4763,26.5713,496.7,nan,7.9,nan,0.0655,nan,nan,,10.83,nan,Liang+2014(Kroupa IMF),12.8,nan,M21,12.65,nan,M21,nan,nan,,,nan,nan,Liang+2014,577.2,nan,347.2,nan,=,400.0,19.0,=,13.87,0.02,<=(1sig),7.5,nan,<=(1sig),11.66,nan,<=(1sig),12.0,nan,<=(1sig),11.76,nan,<=(1sig),16.0,nan,<=(1sig),12.26,nan,<=(1sig),16.0,nan,<=(1sig),12.9,nan,<=(1sig),19.0,nan,<=(1sig),12.67,nan,,nan,nan,,nan,nan
Liang&Chen2014,2MASXJ124145.87+571537.5,190.4414,57.2603,nan,SDSSJ124154.02+572107.3,190.4751,57.352,355.2,nan,9.1,nan,0.0543,nan,nan,,10.93,nan,Liang+2014(Kroupa IMF),13.08,nan,M21,12.93,nan,M21,nan,nan,,,0.01,nan,Liang+2014,715.6,nan,430.5,nan,=,233.0,23.0,=,13.63,0.04,<=(1sig),7.5,nan,<=(1sig),11.66,nan,<=(1sig),8.0,nan,<=(1sig),11.58,nan,,nan,nan,,nan,nan,<=(1sig),13.5,nan,<=(1sig),12.83,nan,<=(1sig),13.5,nan,<=(1sig),12.53,nan,,nan,nan,,nan,nan
Liang&Chen2014,2MASXJ132645.78+443933.1,201.6908,44.6591,nan,SDSSJ132704.13+443505.0,201.7672,44.5847,470.9,nan,2.7,nan,0.0748,nan,nan,,10.93,nan,Liang+2014(Kroupa IMF),13.08,nan,M21,12.93,nan,M21,nan,nan,,,nan,nan,Liang+2014,715.6,nan,430.5,nan,,nan,nan,,nan,nan,<=(1sig),21.0,nan,<=(1sig),12.1,nan,,nan,nan,,nan,nan,<=(1sig),29.5,nan,<=(1sig),12.52,nan,<=(1sig),42.0,nan,<=(1sig),13.32,nan,<=(1sig),33.0,nan,<=(1sig),12.91,nan,,nan,nan,,nan,nan
Liang&Chen2014,SDSSJ084359.65+411443.4,130.9986,41.2454,nan,SDSSJ084349.49+411741.6,130.9562,41.2949,381.3,nan,4.2,nan,0.0973,nan,nan,,10.93,nan,Liang+2014(Kroupa IMF),13.08,nan,M21,12.93,nan,M21,nan,nan,,,nan,nan,Liang+2014,715.6,nan,430.5,nan,=,960.0,40.0,=,14.25,0.02,<=(1sig),16.0,nan,<=(1sig),11.98,nan,<=(1sig),19.0,nan,<=(1sig),11.96,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan
Liang&Chen2014,2MASXJ130520.26-103631.1,196.3344,-10.6086,nan,PKS1302-102,196.3876,-10.5554,225.3,nan,27.4,nan,0.0425,nan,nan,,10.93,nan,Liang+2014(Kroupa IMF),13.08,nan,M21,12.93,nan,M21,nan,nan,,,nan,nan,Liang+2014,715.6,nan,430.5,nan,=,466.0,5.0,=,13.93,0.0,<=(1sig),3.0,nan,<=(1sig),11.26,nan,=,55.0,4.0,=,12.42,0.03,=,27.0,5.0,=,12.49,0.08,=,26.0,5.0,=,13.11,0.08,=,83.0,11.0,=,13.31,0.06,,nan,nan,,nan,nan
